schema	table	column	type	table_referenced_in	column_mentioned	RULING
comms	customer_preferences	facts	jsonb	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	customer_preferences	created_at	timestamp with time zone	backfill_comms.sql	yes	
comms	customer_preferences	updated_at	timestamp with time zone	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	daily_summaries	id	uuid	backfill_comms.sql	yes	
comms	daily_summaries	tenant_id	uuid	backfill_comms.sql	yes	
comms	daily_summaries	summary_date	date	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	daily_summaries	slack_channel	text	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	daily_summaries	slack_message_ts	text	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	daily_summaries	pinned	boolean	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	daily_summaries	body	jsonb	backfill_comms.sql	yes	
comms	daily_summaries	created_at	timestamp with time zone	backfill_comms.sql	yes	
comms	daily_summaries	last_updated_at	timestamp with time zone	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	knowledge_chunks	id	uuid	backfill_comms.sql	yes	
comms	knowledge_chunks	tenant_id	uuid	backfill_comms.sql	yes	
comms	knowledge_chunks	document_id	uuid	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	knowledge_chunks	chunk_index	integer	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	knowledge_chunks	content	text	backfill_comms.sql	yes	
comms	knowledge_chunks	embedding	USER-DEFINED	backfill_comms.sql	yes	
comms	knowledge_chunks	embedding_model	text	backfill_comms.sql	yes	
comms	knowledge_chunks	metadata	jsonb	backfill_comms.sql	yes	
comms	knowledge_chunks	created_at	timestamp with time zone	backfill_comms.sql	yes	
comms	knowledge_documents	id	uuid	backfill_comms.sql	yes	
comms	knowledge_documents	tenant_id	uuid	backfill_comms.sql	yes	
comms	knowledge_documents	location_id	uuid	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	knowledge_documents	title	text	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	knowledge_documents	doc_type	text	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	knowledge_documents	source_uri	text	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	knowledge_documents	body	text	backfill_comms.sql	yes	
comms	knowledge_documents	status	text	backfill_comms.sql	yes	
comms	knowledge_documents	metadata	jsonb	backfill_comms.sql	yes	
comms	knowledge_documents	created_at	timestamp with time zone	backfill_comms.sql	yes	
comms	knowledge_documents	updated_at	timestamp with time zone	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	memory_items	id	uuid	backfill_comms.sql	yes	
comms	memory_items	tenant_id	uuid	backfill_comms.sql	yes	
comms	memory_items	person_id	uuid	backfill_comms.sql	yes	
comms	memory_items	conversation_id	uuid	backfill_comms.sql	yes	
comms	memory_items	memory_type	text	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	memory_items	content	text	backfill_comms.sql	yes	
comms	memory_items	attributes	jsonb	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	memory_items	embedding	USER-DEFINED	backfill_comms.sql	yes	
comms	memory_items	embedding_model	text	backfill_comms.sql	yes	
comms	memory_items	created_at	timestamp with time zone	backfill_comms.sql	yes	
comms	memory_items	updated_at	timestamp with time zone	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	memory_items	metadata	jsonb	backfill_comms.sql	yes	
comms	messages	id	uuid	backfill_comms.sql,reconcile_v3.sql	yes	
comms	messages	tenant_id	uuid	backfill_comms.sql,reconcile_v3.sql	yes	
comms	messages	conversation_id	uuid	backfill_comms.sql,reconcile_v3.sql	yes	
comms	messages	role	text	backfill_comms.sql,reconcile_v3.sql	yes	
comms	messages	content	text	backfill_comms.sql,reconcile_v3.sql	yes	
comms	messages	intent	text	backfill_comms.sql,reconcile_v3.sql	yes	
comms	messages	entities	jsonb	backfill_comms.sql,reconcile_v3.sql	yes	
comms	messages	message_index	integer	backfill_comms.sql,reconcile_v3.sql	yes	
comms	messages	twilio_message_sid	text	backfill_comms.sql,reconcile_v3.sql	yes	
comms	messages	embedding	USER-DEFINED	backfill_comms.sql,reconcile_v3.sql	yes	
comms	messages	embedding_model	text	backfill_comms.sql,reconcile_v3.sql	yes	
comms	messages	created_at	timestamp with time zone	backfill_comms.sql,reconcile_v3.sql	yes	
comms	messages	metadata	jsonb	backfill_comms.sql,reconcile_v3.sql	yes	
comms	tool_calls	id	uuid	backfill_comms.sql	yes	
comms	tool_calls	tenant_id	uuid	backfill_comms.sql	yes	
comms	tool_calls	conversation_id	uuid	backfill_comms.sql	yes	
comms	tool_calls	turn_id	uuid	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	tool_calls	tool_name	text	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	tool_calls	input	jsonb	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	tool_calls	output	jsonb	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	tool_calls	status	text	backfill_comms.sql	yes	
comms	tool_calls	error	text	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	tool_calls	started_at	timestamp with time zone	backfill_comms.sql	yes	
comms	tool_calls	completed_at	timestamp with time zone	backfill_comms.sql	NO	TODO(column-unmentioned)
comms	tool_calls	metadata	jsonb	backfill_comms.sql	yes	
core	contact_merge_candidates	id	uuid	-	NO	TODO(table-never-referenced)
core	contact_merge_candidates	tenant_id	uuid	-	NO	TODO(table-never-referenced)
core	contact_merge_candidates	left_person_id	uuid	-	NO	TODO(table-never-referenced)
core	contact_merge_candidates	right_person_id	uuid	-	NO	TODO(table-never-referenced)
core	contact_merge_candidates	person_id_least	uuid	-	NO	TODO(table-never-referenced)
core	contact_merge_candidates	person_id_greatest	uuid	-	NO	TODO(table-never-referenced)
core	contact_merge_candidates	match_type	text	-	NO	TODO(table-never-referenced)
core	contact_merge_candidates	confidence	text	-	NO	TODO(table-never-referenced)
core	contact_merge_candidates	detail	jsonb	-	NO	TODO(table-never-referenced)
core	contact_merge_candidates	created_at	timestamp with time zone	-	NO	TODO(table-never-referenced)
core	contact_merge_candidates	resolved_at	timestamp with time zone	-	NO	TODO(table-never-referenced)
core	contact_methods	id	uuid	backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	contact_methods	tenant_id	uuid	backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	contact_methods	person_id	uuid	backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	contact_methods	kind	text	backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	contact_methods	normalized_value	text	backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	contact_methods	display_value	text	backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	contact_methods	is_primary	boolean	backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	contact_methods	verified_at	timestamp with time zone	backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	contact_methods	metadata	jsonb	backfill_loyalty_v3.sql,reconcile_v3.sql	NO	TODO(column-unmentioned)
core	contact_methods	created_at	timestamp with time zone	backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	external_refs	id	uuid	-	NO	TODO(table-never-referenced)
core	external_refs	tenant_id	uuid	-	NO	TODO(table-never-referenced)
core	external_refs	location_id	uuid	-	NO	TODO(table-never-referenced)
core	external_refs	product_key	text	-	NO	TODO(table-never-referenced)
core	external_refs	external_schema	text	-	NO	TODO(table-never-referenced)
core	external_refs	external_table	text	-	NO	TODO(table-never-referenced)
core	external_refs	external_id	text	-	NO	TODO(table-never-referenced)
core	external_refs	external_slug	text	-	NO	TODO(table-never-referenced)
core	external_refs	metadata	jsonb	-	NO	TODO(table-never-referenced)
core	external_refs	created_at	timestamp with time zone	-	NO	TODO(table-never-referenced)
core	integration_tokens	id	uuid	-	NO	TODO(table-never-referenced)
core	integration_tokens	tenant_id	uuid	-	NO	TODO(table-never-referenced)
core	integration_tokens	provider	text	-	NO	TODO(table-never-referenced)
core	integration_tokens	access_token	text	-	NO	TODO(table-never-referenced)
core	integration_tokens	refresh_token	text	-	NO	TODO(table-never-referenced)
core	integration_tokens	token_type	text	-	NO	TODO(table-never-referenced)
core	integration_tokens	expires_at	timestamp with time zone	-	NO	TODO(table-never-referenced)
core	integration_tokens	metadata	jsonb	-	NO	TODO(table-never-referenced)
core	integration_tokens	created_at	timestamp with time zone	-	NO	TODO(table-never-referenced)
core	integration_tokens	updated_at	timestamp with time zone	-	NO	TODO(table-never-referenced)
core	locations	id	uuid	backfill_device.sql,backfill_identity.sql	yes	
core	locations	tenant_id	uuid	backfill_device.sql,backfill_identity.sql	yes	
core	locations	slug	text	backfill_device.sql,backfill_identity.sql	yes	
core	locations	name	text	backfill_device.sql,backfill_identity.sql	yes	
core	locations	address	text	backfill_device.sql,backfill_identity.sql	yes	
core	locations	lat	double precision	backfill_device.sql,backfill_identity.sql	yes	
core	locations	lng	double precision	backfill_device.sql,backfill_identity.sql	yes	
core	locations	status	text	backfill_device.sql,backfill_identity.sql	yes	
core	locations	metadata	jsonb	backfill_device.sql,backfill_identity.sql	yes	
core	locations	created_at	timestamp with time zone	backfill_device.sql,backfill_identity.sql	yes	
core	locations	updated_at	timestamp with time zone	backfill_device.sql,backfill_identity.sql	yes	
core	locations	aliases	ARRAY	backfill_device.sql,backfill_identity.sql	yes	
core	locations	descriptor	text	backfill_device.sql,backfill_identity.sql	yes	
core	locations	search_text	text	backfill_device.sql,backfill_identity.sql	yes	
core	membership_roles	membership_id	uuid	backfill_identity.sql	yes	
core	membership_roles	role_id	uuid	backfill_identity.sql	yes	
core	membership_roles	created_at	timestamp with time zone	backfill_identity.sql	yes	
core	password_reset_tokens	id	uuid	-	NO	TODO(table-never-referenced)
core	password_reset_tokens	user_id	uuid	-	NO	TODO(table-never-referenced)
core	password_reset_tokens	token_hash	text	-	NO	TODO(table-never-referenced)
core	password_reset_tokens	expires_at	timestamp with time zone	-	NO	TODO(table-never-referenced)
core	password_reset_tokens	used_at	timestamp with time zone	-	NO	TODO(table-never-referenced)
core	password_reset_tokens	created_at	timestamp with time zone	-	NO	TODO(table-never-referenced)
core	people	id	uuid	backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	people	tenant_id	uuid	backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	people	display_name	text	backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	people	birth_date	date	backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	people	normalized_phone	text	backfill_loyalty_v3.sql,reconcile_v3.sql	NO	TODO(column-unmentioned)
core	people	normalized_email	text	backfill_loyalty_v3.sql,reconcile_v3.sql	NO	TODO(column-unmentioned)
core	people	metadata	jsonb	backfill_loyalty_v3.sql,reconcile_v3.sql	NO	TODO(column-unmentioned)
core	people	created_at	timestamp with time zone	backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	people	updated_at	timestamp with time zone	backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	permissions	id	uuid	backfill_identity.sql	yes	
core	permissions	key	text	backfill_identity.sql	yes	
core	permissions	description	text	backfill_identity.sql	yes	
core	permissions	created_at	timestamp with time zone	backfill_identity.sql	yes	
core	product_instances	id	uuid	backfill_growth.sql,reconcile_v3.sql	yes	
core	product_instances	tenant_id	uuid	backfill_growth.sql,reconcile_v3.sql	yes	
core	product_instances	location_id	uuid	backfill_growth.sql,reconcile_v3.sql	NO	TODO(column-unmentioned)
core	product_instances	product_key	text	backfill_growth.sql,reconcile_v3.sql	yes	
core	product_instances	status	text	backfill_growth.sql,reconcile_v3.sql	yes	
core	product_instances	config	jsonb	backfill_growth.sql,reconcile_v3.sql	yes	
core	product_instances	enabled_at	timestamp with time zone	backfill_growth.sql,reconcile_v3.sql	NO	TODO(column-unmentioned)
core	product_instances	disabled_at	timestamp with time zone	backfill_growth.sql,reconcile_v3.sql	NO	TODO(column-unmentioned)
core	product_instances	created_at	timestamp with time zone	backfill_growth.sql,reconcile_v3.sql	yes	
core	product_instances	updated_at	timestamp with time zone	backfill_growth.sql,reconcile_v3.sql	yes	
core	role_permissions	role_id	uuid	backfill_identity.sql	yes	
core	role_permissions	permission_id	uuid	backfill_identity.sql	NO	TODO(column-unmentioned)
core	role_permissions	created_at	timestamp with time zone	backfill_identity.sql	yes	
core	roles	id	uuid	backfill_identity.sql	yes	
core	roles	tenant_id	uuid	backfill_identity.sql	yes	
core	roles	key	text	backfill_identity.sql	yes	
core	roles	name	text	backfill_identity.sql	yes	
core	roles	description	text	backfill_identity.sql	yes	
core	roles	created_at	timestamp with time zone	backfill_identity.sql	yes	
core	sessions	id	uuid	-	NO	TODO(table-never-referenced)
core	sessions	person_id	uuid	-	NO	TODO(table-never-referenced)
core	sessions	user_id	uuid	-	NO	TODO(table-never-referenced)
core	sessions	tenant_id	uuid	-	NO	TODO(table-never-referenced)
core	sessions	token	text	-	NO	TODO(table-never-referenced)
core	sessions	expires_at	timestamp with time zone	-	NO	TODO(table-never-referenced)
core	sessions	created_at	timestamp with time zone	-	NO	TODO(table-never-referenced)
core	staff_members	id	uuid	backfill_identity.sql	yes	
core	staff_members	tenant_id	uuid	backfill_identity.sql	yes	
core	staff_members	location_id	uuid	backfill_identity.sql	yes	
core	staff_members	user_id	uuid	backfill_identity.sql	yes	
core	staff_members	name	text	backfill_identity.sql	yes	
core	staff_members	email	text	backfill_identity.sql	yes	
core	staff_members	phone	text	backfill_identity.sql	yes	
core	staff_members	status	text	backfill_identity.sql	yes	
core	staff_members	metadata	jsonb	backfill_identity.sql	yes	
core	staff_members	created_at	timestamp with time zone	backfill_identity.sql	yes	
core	staff_members	updated_at	timestamp with time zone	backfill_identity.sql	yes	
core	tenant_memberships	id	uuid	backfill_identity.sql	yes	
core	tenant_memberships	tenant_id	uuid	backfill_identity.sql	yes	
core	tenant_memberships	user_id	uuid	backfill_identity.sql	yes	
core	tenant_memberships	status	text	backfill_identity.sql	yes	
core	tenant_memberships	created_at	timestamp with time zone	backfill_identity.sql	yes	
core	tenant_memberships	updated_at	timestamp with time zone	backfill_identity.sql	yes	
core	tenants	id	uuid	backfill_commerce.sql,backfill_device.sql,backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	tenants	slug	text	backfill_commerce.sql,backfill_device.sql,backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	tenants	name	text	backfill_commerce.sql,backfill_device.sql,backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	tenants	status	text	backfill_commerce.sql,backfill_device.sql,backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	tenants	timezone	text	backfill_commerce.sql,backfill_device.sql,backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	tenants	metadata	jsonb	backfill_commerce.sql,backfill_device.sql,backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	tenants	created_at	timestamp with time zone	backfill_commerce.sql,backfill_device.sql,backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	tenants	updated_at	timestamp with time zone	backfill_commerce.sql,backfill_device.sql,backfill_loyalty_v3.sql,reconcile_v3.sql	yes	
core	users	id	uuid	backfill_identity.sql	yes	
core	users	auth_subject	text	backfill_identity.sql	yes	
core	users	email	text	backfill_identity.sql	yes	
core	users	phone	text	backfill_identity.sql	yes	
core	users	display_name	text	backfill_identity.sql	yes	
core	users	person_id	uuid	backfill_identity.sql	yes	
core	users	password_salt	text	backfill_identity.sql	yes	
core	users	password_hash	text	backfill_identity.sql	yes	
core	users	password_algorithm	text	backfill_identity.sql	yes	
core	users	status	text	backfill_identity.sql	yes	
core	users	created_at	timestamp with time zone	backfill_identity.sql	yes	
core	users	updated_at	timestamp with time zone	backfill_identity.sql	yes	
device	devices	id	uuid	backfill_device.sql	yes	
device	devices	tenant_id	uuid	backfill_device.sql	yes	
device	devices	location_id	uuid	backfill_device.sql	yes	
device	devices	station_id	uuid	backfill_device.sql	yes	
device	devices	name	text	backfill_device.sql	yes	
device	devices	device_type	text	backfill_device.sql	yes	
device	devices	device_subtype	text	backfill_device.sql	yes	
device	devices	manufacturer	text	backfill_device.sql	yes	
device	devices	model	text	backfill_device.sql	yes	
device	devices	connection_type	text	backfill_device.sql	yes	
device	devices	status	text	backfill_device.sql	yes	
device	devices	metadata	jsonb	backfill_device.sql	yes	
device	devices	created_at	timestamp with time zone	backfill_device.sql	yes	
device	devices	updated_at	timestamp with time zone	backfill_device.sql	NO	TODO(column-unmentioned)
device	events	id	uuid	backfill_device.sql	yes	
device	events	tenant_id	uuid	backfill_device.sql	yes	
device	events	session_id	uuid	backfill_device.sql	NO	TODO(column-unmentioned)
device	events	station_id	uuid	backfill_device.sql	yes	
device	events	event_type	text	backfill_device.sql	yes	
device	events	payload	jsonb	backfill_device.sql	yes	
device	events	occurred_at	timestamp with time zone	backfill_device.sql	NO	TODO(column-unmentioned)
device	pairing_requests	id	uuid	backfill_device.sql	yes	
device	pairing_requests	tenant_id	uuid	backfill_device.sql	yes	
device	pairing_requests	location_id	uuid	backfill_device.sql	yes	
device	pairing_requests	station_id	uuid	backfill_device.sql	yes	
device	pairing_requests	device_name	text	backfill_device.sql	yes	
device	pairing_requests	requested_name	text	backfill_device.sql	NO	TODO(column-unmentioned)
device	pairing_requests	pin_hash	text	backfill_device.sql	NO	TODO(column-unmentioned)
device	pairing_requests	pin_salt	text	backfill_device.sql	NO	TODO(column-unmentioned)
device	pairing_requests	status	text	backfill_device.sql	yes	
device	pairing_requests	attempt_count	integer	backfill_device.sql	NO	TODO(column-unmentioned)
device	pairing_requests	max_attempts	integer	backfill_device.sql	yes	
device	pairing_requests	expires_at	timestamp with time zone	backfill_device.sql	yes	
device	pairing_requests	approved_by	uuid	backfill_device.sql	NO	TODO(column-unmentioned)
device	pairing_requests	approved_at	timestamp with time zone	backfill_device.sql	NO	TODO(column-unmentioned)
device	pairing_requests	used_at	timestamp with time zone	backfill_device.sql	NO	TODO(column-unmentioned)
device	pairing_requests	denied_at	timestamp with time zone	backfill_device.sql	NO	TODO(column-unmentioned)
device	pairing_requests	created_at	timestamp with time zone	backfill_device.sql	yes	
device	pairing_requests	updated_at	timestamp with time zone	backfill_device.sql	NO	TODO(column-unmentioned)
device	sessions	id	uuid	backfill_device.sql	yes	
device	sessions	tenant_id	uuid	backfill_device.sql	yes	
device	sessions	device_id	uuid	backfill_device.sql	yes	
device	sessions	station_id	uuid	backfill_device.sql	yes	
device	sessions	device_name	text	backfill_device.sql	yes	
device	sessions	token_hash	text	backfill_device.sql	yes	
device	sessions	is_active	boolean	backfill_device.sql	yes	
device	sessions	last_used_at	timestamp with time zone	backfill_device.sql	yes	
device	sessions	metadata	jsonb	backfill_device.sql	yes	
device	sessions	created_at	timestamp with time zone	backfill_device.sql	yes	
grow	feature_flags	id	uuid	backfill_growth.sql	yes	
grow	feature_flags	tenant_id	uuid	backfill_growth.sql	yes	
grow	feature_flags	key	text	backfill_growth.sql	yes	
grow	feature_flags	enabled	boolean	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	feature_flags	description	text	backfill_growth.sql	yes	
grow	feature_flags	rollout	jsonb	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	feature_flags	created_at	timestamp with time zone	backfill_growth.sql	yes	
grow	feature_flags	updated_at	timestamp with time zone	backfill_growth.sql	yes	
grow	lead_events	id	uuid	backfill_growth.sql	yes	
grow	lead_events	lead_id	uuid	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	lead_events	event_type	text	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	lead_events	event_data	jsonb	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	lead_events	created_at	timestamp with time zone	backfill_growth.sql	yes	
grow	leads	id	uuid	backfill_growth.sql	yes	
grow	leads	email	text	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	name	text	backfill_growth.sql	yes	
grow	leads	phone	text	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	company	text	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	role_title	text	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	consent_state	text	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	lifecycle_status	text	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	diagnostic_data	jsonb	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	diagnostic_date	timestamp with time zone	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	first_contact_channel	text	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	first_contact_campaign	text	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	utm_source	text	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	utm_medium	text	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	utm_campaign	text	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	utm_content	text	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	utm_term	text	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	referrer	text	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	landing_path	text	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	submitted_form	text	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	source_app	text	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	first_contact_at	timestamp with time zone	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	sequence_paused	boolean	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	pause_reason	text	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	emails_sent	ARRAY	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	last_email_sent_at	timestamp with time zone	backfill_growth.sql	NO	TODO(column-unmentioned)
grow	leads	created_at	timestamp with time zone	backfill_growth.sql	yes	
grow	leads	updated_at	timestamp with time zone	backfill_growth.sql	yes	
grow	subscriptions	id	uuid	backfill_growth.sql,reconcile_v3.sql	yes	
grow	subscriptions	tenant_id	uuid	backfill_growth.sql,reconcile_v3.sql	yes	
grow	subscriptions	plan	text	backfill_growth.sql,reconcile_v3.sql	yes	
grow	subscriptions	status	text	backfill_growth.sql,reconcile_v3.sql	yes	
grow	subscriptions	trial_ends_at	timestamp with time zone	backfill_growth.sql,reconcile_v3.sql	NO	TODO(column-unmentioned)
grow	subscriptions	suspended_at	timestamp with time zone	backfill_growth.sql,reconcile_v3.sql	yes	
grow	subscriptions	metadata	jsonb	backfill_growth.sql,reconcile_v3.sql	yes	
grow	subscriptions	created_at	timestamp with time zone	backfill_growth.sql,reconcile_v3.sql	yes	
grow	subscriptions	updated_at	timestamp with time zone	backfill_growth.sql,reconcile_v3.sql	yes	
kitchen	station_assignments	id	uuid	backfill_device.sql	yes	
kitchen	station_assignments	tenant_id	uuid	backfill_device.sql	yes	
kitchen	station_assignments	station_id	uuid	backfill_device.sql	yes	
kitchen	station_assignments	group_id	uuid	backfill_device.sql	NO	TODO(column-unmentioned)
kitchen	station_assignments	product_ref	uuid	backfill_device.sql	NO	TODO(column-unmentioned)
kitchen	station_assignments	product_key	text	backfill_device.sql	NO	TODO(column-unmentioned)
kitchen	station_assignments	sort_order	integer	backfill_device.sql	yes	
kitchen	station_assignments	metadata	jsonb	backfill_device.sql	yes	
kitchen	station_assignments	created_at	timestamp with time zone	backfill_device.sql	yes	
kitchen	station_assignments	updated_at	timestamp with time zone	backfill_device.sql	NO	TODO(column-unmentioned)
kitchen	station_groups	id	uuid	backfill_device.sql	yes	
kitchen	station_groups	tenant_id	uuid	backfill_device.sql	yes	
kitchen	station_groups	location_id	uuid	backfill_device.sql	yes	
kitchen	station_groups	group_key	text	backfill_device.sql	NO	TODO(column-unmentioned)
kitchen	station_groups	name	text	backfill_device.sql	yes	
kitchen	station_groups	sort_order	integer	backfill_device.sql	yes	
