created_at	conversation_id	response_type	prompt_version	processor_version	stop_reason	tools	preceding_user_message
2026-05-07 19:14:36.919521+00	762559f0-5112-4040-9166-3fdd38d177ea	product_search	v5.1.0.turn_v2	v2	""	""	quita el latte de la orden
2026-05-07 19:08:47.636995+00	762559f0-5112-4040-9166-3fdd38d177ea	product_search	v5.1.0.turn_v2	v2	""	""	vete a la verga
2026-05-07 06:05:03.343268+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	quiero seguir con este pedido
2026-05-07 06:04:31.158693+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	ok
2026-05-07 06:03:30.334787+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	chico
2026-05-07 06:03:11.817275+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	quiero mi americano frio
2026-05-07 03:52:40.022339+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	si
2026-05-07 03:52:17.623275+00	762559f0-5112-4040-9166-3fdd38d177ea	product_search	v5.1.0.turn_v2	v2	""	""	galleta de leonor de chocochip
2026-05-07 03:52:16.859283+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	hola
2026-05-07 03:52:08.982582+00	0754d9c5-4bb1-4546-8aa6-501ff0dc4385	product_search	v5.1.0.turn_v2	v2	""	get_business_info	Me perdiste, soy un cliente molesto
2026-05-07 03:51:45.670906+00	762559f0-5112-4040-9166-3fdd38d177ea	product_search	v5.1.0.turn_v2	v2	""	""	nada mas
2026-05-07 03:51:25.521291+00	762559f0-5112-4040-9166-3fdd38d177ea	product_search	v5.1.0.turn_v2	v2	""	""	nigga
2026-05-07 03:49:07.159965+00	0754d9c5-4bb1-4546-8aa6-501ff0dc4385	product_search	v5.1.0.turn_v2	v2	""	get_business_info	Cual es el número?
2026-05-07 03:48:08.407423+00	0754d9c5-4bb1-4546-8aa6-501ff0dc4385	product_search	v5.1.0.turn_v2	v2	""	get_business_info	Quien es tu administrador
2026-05-07 03:47:07.651917+00	0754d9c5-4bb1-4546-8aa6-501ff0dc4385	product_search	v5.1.0.turn_v2	v2	""	get_business_info	Quiero hablar con tu supervisor
2026-05-07 03:45:07.228608+00	0754d9c5-4bb1-4546-8aa6-501ff0dc4385	product_search	v5.1.0.turn_v2	v2	""	get_business_info	Quiero saber donde esta eñ gobernador rocha moya
2026-05-07 03:44:05.877083+00	0754d9c5-4bb1-4546-8aa6-501ff0dc4385	product_search	v5.1.0.turn_v2	v2	""	""	Eso fue hace un mes
2026-05-07 03:42:06.035205+00	0754d9c5-4bb1-4546-8aa6-501ff0dc4385	product_search	v5.1.0.turn_v2	v2	""	""	Que esta pasando
2026-05-07 03:41:11.205044+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	si
2026-05-07 03:41:05.695735+00	0754d9c5-4bb1-4546-8aa6-501ff0dc4385	product_search	v5.1.0.turn_v2	v2	""	""	Por que no me contestas
2026-05-07 03:40:07.122749+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	puto bot de mierda
2026-05-07 03:39:11.50196+00	762559f0-5112-4040-9166-3fdd38d177ea	product_search	v5.1.0.turn_v2	v2	""	""	cuales opciones mamon verga
2026-05-07 03:39:07.173536+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	quiero un americano chico frio
2026-05-07 03:38:12.083887+00	762559f0-5112-4040-9166-3fdd38d177ea	product_search	v5.1.0.turn_v2	v2	""	""	quita el puto latte y una galleta salada mamon
2026-05-07 03:38:07.266019+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	hola
2026-05-07 03:24:12.976471+00	762559f0-5112-4040-9166-3fdd38d177ea	product_search	v5.1.0.turn_v2	v2	""	""	q rollo joto
2026-05-07 03:10:10.674793+00	762559f0-5112-4040-9166-3fdd38d177ea	product_search	v5.1.0.turn_v2	v2	""	""	q rolllo joto
2026-05-07 01:14:32.961506+00	05edd52c-446f-4875-806c-5fc2d2e8bbc5	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	me das un Matcha Blanco con leche de coco
2026-05-07 01:14:28.592017+00	258aab83-9f3b-4aa6-b523-9d9fc75c4716	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	ponme un Matcha Vainilla en las rocas
2026-05-07 01:14:23.805185+00	75793851-938c-4c1f-8318-26b6480742d3	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	agregame un Brownie matcha caliente
2026-05-07 01:14:19.058092+00	e68fa356-66a8-4dab-8b58-5a846a09b50a	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	quiero un Matcha Sugar Free chico
2026-05-07 01:14:15.013582+00	3e33e02b-6900-42d0-9ecb-db3e5f3cb279	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	dame un Matcha Mascabado grande
2026-05-07 01:10:36.321478+00	d7d1d648-e42c-46b5-a536-3140b2fc20c4	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	agregame un Cuernito croissant solo chico
2026-05-07 01:10:30.521848+00	d7d1d648-e42c-46b5-a536-3140b2fc20c4	menu	v5.1.0.turn_v2	v2	""	search_menu	olvida eso mejor quiero otra cosa
2026-05-07 01:10:25.173174+00	d7d1d648-e42c-46b5-a536-3140b2fc20c4	product_search	v5.1.0.turn_v2	v2	""	""	chico
2026-05-07 01:10:19.194136+00	d7d1d648-e42c-46b5-a536-3140b2fc20c4	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	me das un The coco club
2026-05-07 01:10:15.008818+00	11083961-61bd-470f-9d17-8a22dcaa698a	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	quiero un VASO DOBLE REDONDO grande
2026-05-07 01:10:08.23393+00	11083961-61bd-470f-9d17-8a22dcaa698a	product_search	v5.1.0.turn_v2	v2	""	""	ok ya no quiero nada de lo anterior te pedire algo nuevo
2026-05-07 01:10:04.387015+00	f5a34918-5a73-4e8c-bdf0-a645b5fe7b96	product_search	v5.1.0.turn_v2	v2	""	""	gde
2026-05-07 01:10:00.072506+00	11083961-61bd-470f-9d17-8a22dcaa698a	product_search	v5.1.0.turn_v2	v2	""	""	gde
2026-05-07 01:09:56.835382+00	f5a34918-5a73-4e8c-bdf0-a645b5fe7b96	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	agregame un Matcha Blanco
2026-05-07 01:09:52.641806+00	8699256a-c0ef-486d-bc82-98ee6a0e8e48	product_search	v5.1.0.turn_v2	v2	""	""	me das un Te Lavanda Manzanilla en las rocas
2026-05-07 01:09:48.150748+00	8699256a-c0ef-486d-bc82-98ee6a0e8e48	product_search	v5.1.0.turn_v2	v2	""	""	ok ya no quiero nada de lo anterior te pedire algo nuevo
2026-05-07 01:09:45.153932+00	11083961-61bd-470f-9d17-8a22dcaa698a	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	ponme un Hielo Oso Kenny
2026-05-07 01:09:43.858456+00	8699256a-c0ef-486d-bc82-98ee6a0e8e48	product_search	v5.1.0.turn_v2	v2	""	""	ch
2026-05-07 01:09:36.659607+00	8699256a-c0ef-486d-bc82-98ee6a0e8e48	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	quiero un Matcha Rosa
2026-05-07 01:09:36.572439+00	396f7782-c944-44d6-af14-3596dcebc06e	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	dame un REFIL VASO CORAZÓN con leche de coco
2026-05-07 01:09:32.237252+00	396f7782-c944-44d6-af14-3596dcebc06e	product_search	v5.1.0.turn_v2	v2	""	""	ya no, mejor empezamos de nuevo
2026-05-07 01:09:29.809258+00	19c26641-e010-483b-984e-360a93ed0252	product_search	v5.1.0.turn_v2	v2	""	""	ponme un Chocolate caliente
2026-05-07 01:09:28.407254+00	396f7782-c944-44d6-af14-3596dcebc06e	product_search	v5.1.0.turn_v2	v2	""	""	ch
2026-05-07 01:09:25.017673+00	19c26641-e010-483b-984e-360a93ed0252	product_search	v5.1.0.turn_v2	v2	""	""	ya no, mejor empezamos de nuevo
2026-05-07 01:09:24.309717+00	396f7782-c944-44d6-af14-3596dcebc06e	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	agregame un Hielo Flor
2026-05-07 01:09:21.147065+00	19c26641-e010-483b-984e-360a93ed0252	product_search	v5.1.0.turn_v2	v2	""	""	grande
2026-05-07 01:09:20.133535+00	c3e5574f-03f6-4a67-9da2-9f442dbc8abc	product_search	v5.1.0.turn_v2	v2	""	""	me das un 3 quesos en las rocas
2026-05-07 01:09:16.263926+00	19c26641-e010-483b-984e-360a93ed0252	product_search	v5.1.0.turn_v2	v2	""	""	dame un Moka
2026-05-07 01:09:15.124483+00	c3e5574f-03f6-4a67-9da2-9f442dbc8abc	product_search	v5.1.0.turn_v2	v2	""	""	olvida eso mejor quiero otra cosa
2026-05-07 01:09:11.764462+00	5e693ebc-40b5-495c-94d9-b671750297ef	product_search	v5.1.0.turn_v2	v2	""	""	agregame un Coca cola chico
2026-05-07 01:09:08.301387+00	c3e5574f-03f6-4a67-9da2-9f442dbc8abc	product_search	v5.1.0.turn_v2	v2	""	""	grande
2026-05-07 01:09:06.636277+00	5e693ebc-40b5-495c-94d9-b671750297ef	product_search	v5.1.0.turn_v2	v2	""	""	olvida eso mejor quiero otra cosa
2026-05-07 01:09:03.39132+00	c3e5574f-03f6-4a67-9da2-9f442dbc8abc	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	quiero un Matcha Rosa
2026-05-07 01:09:02.635005+00	5e693ebc-40b5-495c-94d9-b671750297ef	product_search	v5.1.0.turn_v2	v2	""	""	chico
2026-05-07 01:08:59.426456+00	f71ed8de-06a3-4f12-a63f-cb33c164556b	product_search	v5.1.0.turn_v2	v2	""	""	ponme un Moka caliente
2026-05-07 01:08:59.316117+00	c666a17b-07e2-4a43-b774-d8bec9171f61	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	ponme un Cuernito croissant solo
2026-05-07 01:08:58.234579+00	5e693ebc-40b5-495c-94d9-b671750297ef	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	me das un Moka Blanco
2026-05-07 01:08:55.274477+00	f71ed8de-06a3-4f12-a63f-cb33c164556b	product_search	v5.1.0.turn_v2	v2	""	""	ok ya no quiero nada de lo anterior te pedire algo nuevo
2026-05-07 01:08:54.268255+00	74a9965d-c0ba-4ca2-8926-4f876f622821	product_search	v5.1.0.turn_v2	v2	""	""	quiero un Brownie KALU grande
2026-05-07 01:08:54.005843+00	f4852d12-91d8-415f-b5a3-60a14ec34713	product_search	v5.1.0.turn_v2	v2	""	""	dame un Hielo Oso Kenny con leche de coco
2026-05-07 01:08:51.147524+00	f71ed8de-06a3-4f12-a63f-cb33c164556b	product_search	v5.1.0.turn_v2	v2	""	""	chico
2026-05-07 01:08:49.034545+00	f4852d12-91d8-415f-b5a3-60a14ec34713	product_search	v5.1.0.turn_v2	v2	""	""	olvida eso mejor quiero otra cosa
2026-05-07 01:08:48.814491+00	74a9965d-c0ba-4ca2-8926-4f876f622821	product_search	v5.1.0.turn_v2	v2	""	""	ok ya no quiero nada de lo anterior te pedire algo nuevo
2026-05-07 01:08:46.238381+00	f71ed8de-06a3-4f12-a63f-cb33c164556b	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	dame un Matcha Agua
2026-05-07 01:08:44.893095+00	74a9965d-c0ba-4ca2-8926-4f876f622821	product_search	v5.1.0.turn_v2	v2	""	""	gde
2026-05-07 01:08:44.885905+00	f4852d12-91d8-415f-b5a3-60a14ec34713	product_search	v5.1.0.turn_v2	v2	""	""	gde
2026-05-07 01:08:39.788429+00	f4852d12-91d8-415f-b5a3-60a14ec34713	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	agregame un La Mesa de Leonor
2026-05-07 01:08:39.612688+00	74a9965d-c0ba-4ca2-8926-4f876f622821	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	ponme un Matcha Latte
2026-05-07 01:08:35.715531+00	cafbb76a-2db5-4b38-93e6-fe4667907601	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	me das un Hielo Flor en las rocas
2026-05-07 01:08:34.965647+00	2791d7a6-7f10-43cb-bfbf-e5b27c5b180a	product_search	v5.1.0.turn_v2	v2	""	""	dame un BOLSA DÁTIL 1 KG con leche de coco
2026-05-07 01:08:30.755423+00	cafbb76a-2db5-4b38-93e6-fe4667907601	product_search	v5.1.0.turn_v2	v2	""	""	ok ya no quiero nada de lo anterior te pedire algo nuevo
2026-05-07 01:08:29.592786+00	2791d7a6-7f10-43cb-bfbf-e5b27c5b180a	product_search	v5.1.0.turn_v2	v2	""	""	ya no, mejor empezamos de nuevo
2026-05-07 01:08:26.716634+00	cafbb76a-2db5-4b38-93e6-fe4667907601	product_search	v5.1.0.turn_v2	v2	""	""	ch
2026-05-07 01:08:24.343124+00	2791d7a6-7f10-43cb-bfbf-e5b27c5b180a	product_search	v5.1.0.turn_v2	v2	""	""	ch
2026-05-07 01:08:21.993624+00	cafbb76a-2db5-4b38-93e6-fe4667907601	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	quiero un The coco club
2026-05-07 01:08:20.310568+00	2791d7a6-7f10-43cb-bfbf-e5b27c5b180a	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	agregame un Lavanda Latte
2026-05-07 01:08:18.250426+00	38c1852d-20c6-4288-9c6a-6a67f4706fa5	product_search	v5.1.0.turn_v2	v2	""	""	ponme un BOTELLA JARABE TORANI caliente
2026-05-07 01:08:15.983409+00	1f9cd2f0-c64e-45f6-9e5a-49e00d31e470	product_search	v5.1.0.turn_v2	v2	""	""	me das un DÁTIL CHOCOLATE en las rocas
2026-05-07 01:08:13.294878+00	38c1852d-20c6-4288-9c6a-6a67f4706fa5	product_search	v5.1.0.turn_v2	v2	""	""	ya no, mejor empezamos de nuevo
2026-05-07 01:08:11.32893+00	1f9cd2f0-c64e-45f6-9e5a-49e00d31e470	product_search	v5.1.0.turn_v2	v2	""	""	olvida eso mejor quiero otra cosa
2026-05-07 01:08:08.713455+00	38c1852d-20c6-4288-9c6a-6a67f4706fa5	product_search	v5.1.0.turn_v2	v2	""	""	grande
2026-05-07 01:08:07.224982+00	1f9cd2f0-c64e-45f6-9e5a-49e00d31e470	product_search	v5.1.0.turn_v2	v2	""	""	grande
2026-05-07 01:08:03.489295+00	38c1852d-20c6-4288-9c6a-6a67f4706fa5	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	dame un Lavanda Latte
2026-05-07 01:08:01.089688+00	1f9cd2f0-c64e-45f6-9e5a-49e00d31e470	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	quiero un Latte Regular
2026-05-07 01:07:59.369621+00	ab0a92db-41ac-40c5-822b-ec07512615a2	product_search	v5.1.0.turn_v2	v2	""	""	agregame un Te Lavanda Manzanilla chico
2026-05-07 01:07:57.292778+00	01d0e1a6-13f1-4a38-9458-2bae7b9aee63	product_search	v5.1.0.turn_v2	v2	""	""	ponme un GALLETAS AVENA caliente
2026-05-07 01:07:53.728277+00	ab0a92db-41ac-40c5-822b-ec07512615a2	product_search	v5.1.0.turn_v2	v2	""	""	olvida eso mejor quiero otra cosa
2026-05-07 01:07:49.885137+00	01d0e1a6-13f1-4a38-9458-2bae7b9aee63	product_search	v5.1.0.turn_v2	v2	""	""	ok ya no quiero nada de lo anterior te pedire algo nuevo
2026-05-07 01:07:49.752741+00	ab0a92db-41ac-40c5-822b-ec07512615a2	product_search	v5.1.0.turn_v2	v2	""	""	chico
2026-05-07 01:07:45.744621+00	01d0e1a6-13f1-4a38-9458-2bae7b9aee63	product_search	v5.1.0.turn_v2	v2	""	""	chico
2026-05-07 01:07:45.069384+00	ab0a92db-41ac-40c5-822b-ec07512615a2	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	me das un Latte Regular
2026-05-07 01:07:41.127164+00	01d0e1a6-13f1-4a38-9458-2bae7b9aee63	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	dame un Sugar Free Latte
2026-05-07 01:07:40.917388+00	857ef396-a06b-4a1e-8992-83708f493590	product_search	v5.1.0.turn_v2	v2	""	""	quiero un Agua grande
2026-05-07 01:07:35.079417+00	857ef396-a06b-4a1e-8992-83708f493590	product_search	v5.1.0.turn_v2	v2	""	""	ok ya no quiero nada de lo anterior te pedire algo nuevo
2026-05-07 01:07:30.915572+00	857ef396-a06b-4a1e-8992-83708f493590	product_search	v5.1.0.turn_v2	v2	""	""	gde
2026-05-07 01:07:25.675658+00	857ef396-a06b-4a1e-8992-83708f493590	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	ponme un Caramelo vainilla
2026-05-07 01:07:21.595258+00	aaddc14f-2c23-443a-b742-9dcb41089ac3	product_search	v5.1.0.turn_v2	v2	""	""	dame un Agua mineral con leche de coco
2026-05-07 01:07:16.999789+00	aaddc14f-2c23-443a-b742-9dcb41089ac3	product_search	v5.1.0.turn_v2	v2	""	""	ya no, mejor empezamos de nuevo
2026-05-07 01:07:13.056218+00	aaddc14f-2c23-443a-b742-9dcb41089ac3	product_search	v5.1.0.turn_v2	v2	""	""	ch
2026-05-07 01:07:07.944741+00	aaddc14f-2c23-443a-b742-9dcb41089ac3	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	agregame un Pumpkin Spice Latte
2026-05-07 01:07:03.821333+00	79edcb2b-9090-42d9-bf4a-88fa198812c9	product_search	v5.1.0.turn_v2	v2	""	""	me das un Moka en las rocas
2026-05-07 01:06:59.895863+00	79edcb2b-9090-42d9-bf4a-88fa198812c9	product_search	v5.1.0.turn_v2	v2	""	""	olvida eso mejor quiero otra cosa
2026-05-07 01:06:56.171374+00	79edcb2b-9090-42d9-bf4a-88fa198812c9	product_search	v5.1.0.turn_v2	v2	""	""	grande
2026-05-07 01:06:51.330206+00	79edcb2b-9090-42d9-bf4a-88fa198812c9	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	quiero un Rosa Latte
2026-05-07 01:06:47.327529+00	7355c19a-e65c-4cee-a06d-8579d13d33cc	product_search	v5.1.0.turn_v2	v2	""	""	ponme un Moka Blanco caliente
2026-05-07 01:06:43.629304+00	7355c19a-e65c-4cee-a06d-8579d13d33cc	product_search	v5.1.0.turn_v2	v2	""	""	ok ya no quiero nada de lo anterior te pedire algo nuevo
2026-05-07 01:06:39.686458+00	7355c19a-e65c-4cee-a06d-8579d13d33cc	product_search	v5.1.0.turn_v2	v2	""	""	chico
2026-05-07 01:06:35.238272+00	7355c19a-e65c-4cee-a06d-8579d13d33cc	product_search	v5.1.0.turn_v2	v2	""	""	dame un Vainilla Latte
2026-05-07 01:02:56.337928+00	7fe0b4a8-f129-402c-8473-5a1a8ea57000	product_search	v5.1.0.turn_v2	v2	""	""	olvida eso mejor quiero otra cosa
2026-05-07 01:02:52.49121+00	7fe0b4a8-f129-402c-8473-5a1a8ea57000	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	me das un Matcha Sugar Free
2026-05-07 01:02:47.998521+00	c0a00873-5c5a-4354-87da-04b232b7cfcb	product_search	v5.1.0.turn_v2	v2	""	""	ok ya no quiero nada de lo anterior te pedire algo nuevo
2026-05-07 01:02:43.668098+00	c0a00873-5c5a-4354-87da-04b232b7cfcb	product_search	v5.1.0.turn_v2	v2	""	""	ponme un Matcha Mascabado
2026-05-07 01:02:34.739978+00	2c610792-0d1e-4e78-9c27-b9db575d742e	product_search	v5.1.0.turn_v2	v2	""	""	ya no, mejor empezamos de nuevo
2026-05-07 01:02:30.458171+00	2c610792-0d1e-4e78-9c27-b9db575d742e	product_search	v5.1.0.turn_v2	v2	""	""	agregame un 3 quesos
2026-05-07 01:02:25.862258+00	b7f89dc1-e093-4bae-bf00-66337df4f974	product_search	v5.1.0.turn_v2	v2	""	""	olvida eso mejor quiero otra cosa
2026-05-07 01:02:22.211177+00	b7f89dc1-e093-4bae-bf00-66337df4f974	product_search	v5.1.0.turn_v2	v2	""	""	quiero un VASO DOBLE REDONDO
2026-05-07 01:02:17.578599+00	ecfbfcfa-5de1-4b38-9c47-edd1b945b297	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	ok ya no quiero nada de lo anterior te pedire algo nuevo
2026-05-07 01:02:12.813375+00	ecfbfcfa-5de1-4b38-9c47-edd1b945b297	product_search	v5.1.0.turn_v2	v2	""	add_to_cart	dame un REFIL VASO CORAZÓN
2026-05-07 01:01:56.798351+00	a1f7a398-d8e2-416d-9ef7-73383312c331	menu	v5.1.0.turn_v2	v2	""	search_menu	venden Vainilla Latte?
2026-05-07 01:01:50.761163+00	ca95af1f-7214-4b2f-88d8-970de04c7ace	menu	v5.1.0.turn_v2	v2	""	search_menu	me puedes decir si hay The coco club?
2026-05-07 01:01:46.172508+00	58423e1a-be85-4429-96f1-7a3790d8cdf8	menu	v5.1.0.turn_v2	v2	""	search_menu	manejan La Mesa de Leonor?
2026-05-07 01:01:40.71841+00	3d28cd09-ac5c-4988-9345-e1e7ee24973e	menu	v5.1.0.turn_v2	v2	""	search_menu	hay Cuernito croissant solo?
2026-05-07 01:01:35.705991+00	521a3872-d8b3-4b19-b64a-ea33ad349e73	menu	v5.1.0.turn_v2	v2	""	search_menu	tienes Galleta Alicia?
2026-05-06 20:27:16.328894+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	hola
2026-05-06 03:06:33.425174+00	8294c4cb-1723-45cf-b885-4faf81016c55	product_search	v5.1.0.turn_v2	v2	""	""	hola
